driverId,constructorId,results_grid,constructors_name  ,constructors_nationality,drivers_surname,drivers_nationality,year,round,races_circuitId,races_name,age_at_race,driver_experience_years,constructor_experience_years,driver_race_winner,driver_win_count_till_race
844,6,1,Ferrari,Italian,Leclerc,Monegasque,2024,6,6,Monaco Grand Prix,26,6,28,,5
857,1,2,McLaren,British,Piastri,Australian,2024,6,6,Monaco Grand Prix,23,1,28,,0
832,6,3,Ferrari,Italian,Sainz,Spanish,2024,6,6,Monaco Grand Prix,29,9,28,,3
846,1,4,McLaren,British,Norris,British,2024,6,6,Monaco Grand Prix,24,5,28,,1
847,131,5,Mercedes,German,Russell,British,2024,6,6,Monaco Grand Prix,26,5,14,,1
50,9,6,Red Bull,Austrian,Verstappen,Dutch,2024,6,6,Monaco Grand Prix,26,9,19,,43
1,131,7,Mercedes,German,Hamilton,British,2024,6,6,Monaco Grand Prix,39,17,14,,90
852,300,8,RB HONDA RBPT,Italian,Tsunoda,Japanese,2024,6,6,Monaco Grand Prix,24,3,1,,0
848,3,9,Williams,British,Albon,Thai,2024,6,6,Monaco Grand Prix,28,5,28,,0
842,214,10,Alpine F1 Team,French,Gasly,French,2024,6,6,Monaco Grand Prix,28,7,3,,1
839,214,11,Alpine F1 Team,French,Ocon,French,2024,6,6,Monaco Grand Prix,27,8,3,,1
817,300,12,RB HONDA RBPT,Italian,Ricciardo,Australian,2024,6,6,Monaco Grand Prix,34,13,1,,8
840,117,13,Aston Martin,British,Stroll,Canadian,2024,6,6,Monaco Grand Prix,25,7,3,,0
4,117,14,Aston Martin,British,Alonso,Spanish,2024,6,6,Monaco Grand Prix,42,23,3,,8
858,3,15,Williams,British,Sargeant,American,2024,6,6,Monaco Grand Prix,23,1,28,,0
815,9,16,Red Bull,Austrian,PÃ©rez,Mexican,2024,6,6,Monaco Grand Prix,34,13,19,,6
822,301,17,KICK SAUBER FERRARI,Swiss,Bottas,Finnish,2024,6,6,Monaco Grand Prix,34,11,1,,10
855,301,18,KICK SAUBER FERRARI,Swiss,Zhou,Chinese,2024,6,6,Monaco Grand Prix,24,2,1,,0
807,210,19,Haas F1 Team,American,HÃ¼lkenberg,German,2024,6,6,Monaco Grand Prix,36,12,8,,0
76,210,20,Haas F1 Team,American,Magnussen,Danish,2024,6,6,Monaco Grand Prix,31,10,8,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
